Date,Open,High,Low,Close,Adj Close,Volume
2023-07-11,25.309999,25.590000,25.190001,25.309999,25.287453,3047500
2023-07-12,25.629999,25.975000,25.270000,25.760000,25.737053,3120000
2023-07-13,25.940001,27.030001,25.770000,26.510000,26.486385,5184500
2023-07-14,26.520000,26.799999,26.035000,26.350000,26.326529,3135200
2023-07-17,26.299999,26.719999,26.110001,26.350000,26.326529,3027400
2023-07-18,26.400000,26.815001,26.040001,26.730000,26.706188,4121200
2023-07-19,26.520000,26.780001,26.280001,26.690001,26.666227,6889800
2023-07-20,26.400000,26.700001,26.070000,26.170000,26.146687,6023900
2023-07-21,26.430000,26.469999,25.340000,25.680000,25.657125,5709800
2023-07-24,25.520000,25.950001,25.225000,25.780001,25.757036,3872100
2023-07-25,25.670000,26.275000,25.575001,25.990000,25.966848,2741700
2023-07-26,25.700001,26.080000,25.090000,25.340000,25.317427,5117700
2023-07-27,25.850000,26.030001,25.090000,25.320000,25.297445,4690000
2023-07-28,25.690001,26.219000,25.610001,25.950001,25.926884,4622600
2023-07-31,25.770000,26.105000,25.410000,26.010000,25.986832,5874900
2023-08-01,25.670000,26.629999,25.480000,26.530001,26.506369,9983200
2023-08-02,33.000000,35.380001,31.570000,34.290001,34.259457,38471500
2023-08-03,34.099998,34.590000,33.060001,34.500000,34.469269,12836000
2023-08-04,34.959999,36.595001,34.759998,35.709999,35.678188,9937000
2023-08-07,35.000000,36.410000,34.860001,35.720001,35.688183,14131800
2023-08-08,35.549999,36.470001,34.959999,36.220001,36.187737,7777700
2023-08-09,36.369999,36.689999,34.674999,34.820000,34.788982,7518900
2023-08-10,34.709999,34.950001,32.740002,33.869999,33.839828,11382300
2023-08-11,34.150002,34.580002,33.380001,33.509998,33.480148,6049500
2023-08-14,33.570000,34.860001,33.250000,34.580002,34.549198,5947800
2023-08-15,34.610001,34.919998,34.055000,34.730000,34.699062,5592400
2023-08-16,34.709999,34.980000,33.700001,33.740002,33.709946,5438200
2023-08-17,33.790001,33.959999,32.884998,32.990002,32.960617,6342100
2023-08-18,33.000000,34.330002,32.380001,33.970001,33.939743,7282000
2023-08-21,34.200001,35.240002,33.650002,35.070000,35.038761,5952900
2023-08-22,35.380001,35.799999,34.540001,34.970001,34.938854,4276400
2023-08-23,35.130001,36.200001,34.889999,35.680000,35.648216,4733300
2023-08-24,36.889999,37.220001,34.990002,35.009998,34.978813,10481000
2023-08-25,35.220001,37.950001,35.110001,37.500000,37.466595,10429700
2023-08-28,37.439999,38.537998,37.209999,38.169998,38.135998,6433300
2023-08-29,37.700001,39.160000,37.400002,38.720001,38.685509,5746600
2023-08-30,38.500000,39.248001,38.380001,38.889999,38.855358,3397000
2023-08-31,39.080002,39.500000,38.775002,39.389999,39.354912,3569300
2023-09-01,39.619999,40.410000,39.189999,39.869999,39.834480,4613900
2023-09-05,39.849998,40.139999,38.779999,39.130001,39.095146,3719500
2023-09-06,39.200001,39.580002,37.660000,38.439999,38.405758,7073700
2023-09-07,38.160000,39.770000,37.810001,39.599998,39.564724,6757300
2023-09-08,39.330002,40.150002,39.044998,39.200001,39.165085,3862500
2023-09-11,38.180000,39.230000,37.849998,39.200001,39.165085,6528500
2023-09-12,38.869999,39.709999,37.310001,37.619999,37.586487,5653700
2023-09-13,37.430000,37.790001,36.220001,37.029999,36.997013,7073300
2023-09-14,37.970001,39.240002,37.924999,38.439999,38.405758,6826000
2023-09-15,37.750000,38.470001,37.500000,38.169998,38.135998,7124700
2023-09-18,37.470001,38.305000,36.720001,37.799999,37.766327,4100100
2023-09-19,37.970001,38.419998,37.320000,38.060001,38.026096,2445100
2023-09-20,38.160000,38.757000,37.099998,37.119999,37.086933,3696100
2023-09-21,36.700001,36.840000,35.799999,36.320000,36.287647,3685200
2023-09-22,36.730000,36.910000,36.209999,36.450001,36.417534,2666200
2023-09-25,36.439999,37.540001,36.200001,36.770000,36.737244,4134200
2023-09-26,36.500000,36.759998,35.490002,35.520000,35.488361,4622500
2023-09-27,35.959999,36.560001,35.720001,36.180000,36.147774,5577000
2023-09-28,36.259998,38.099998,36.110001,37.000000,36.967041,4655800
2023-09-29,37.419998,38.709999,37.120998,37.200001,37.166862,4526600
